Correct name with authors,Family,Order,Superorder,"Group (Dicot, Monocot, Gymnosperm, Fern)",Sample reference code,"Life cycle habit (annual, biennial, perennial)","Plant growth habit (aquatic, forb, graminoid,  herbaceous vine, liana, shrub, tree)",Nearctic,Neotropic,Palearctic,Afrotropic,Indo-Malay,Australasia,Oceania,Number of Biogeographic Realms,Tropical and Subtropical Moist Broadleaf Forests,Tropical and Subtropical Dry Broadleaf Forests,Tropical and Subtropical Coniferous Forests,Temperate Broadleaf and Mixed Forests,Temperate Coniferous Forests,Boreal Forests/Taiga,"Tropical and Subtropical Grasslands, Savannas, and Shrublands","Temperate Grasslands, Savannas, and Shrublands",Flooded Grasslands and Savannas,Montane Grasslands and Shrublands,Tundra,"Mediterranean Forests, Woodlands, and Scrub",Deserts and Xeric Shrublands,Mangroves,Number of Biomes,C (%),S (%),R (%)
Sparganium natans L.,Typhaceae,Poales,Lilianae,Monocot,Cerabolini/Pierce,perennial,aquatic,1,0,1,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,46.76,20.56,32.68
Spartina anglica C.E. Hubb.,Poaceae,Poales,Lilianae,Monocot,Kleyer,perennial,graminoid,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,34.05,65.95,0.00
Spartina versicolor Fabre,Poaceae,Poales,Lilianae,Monocot,Buffa,perennial,graminoid,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,30.10,68.46,1.44
Spartium junceum L.,Fabaceae,Fabales,Rosanae,Dicot,Cerabolini/Pierce,perennial,tree,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,22.15,0.00,77.85
Specularia perfoliata (L.) A. DC.,Campanulaceae,Asterales,Asteranae,Dicot,Weiher,annual,forb,1,1,0,0,0,0,0,2,1,1,1,1,1,0,1,1,1,1,0,1,1,0,11,7.99,10.22,81.78
Spergula arvensis L.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,Cerabolini/Pierce,annual,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,20.94,0.00,79.06
Spergularia echinosperma (Celak.) Asch. & Graebn.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,Kleyer,annual,forb,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.00,0.00,100.00
Spergularia media (L.) C. Presl,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,4,0.00,0.00,100.00
Spergularia rubra (L.) J. Presl & C. Presl,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,Wright,biennial,forb,0,0,1,0,1,0,0,2,0,0,0,1,1,1,0,0,0,1,1,1,1,0,7,0.00,0.00,100.00
Spigelia aceifolia Woodson,Loganiaceae,Gentianales,Asteranae,Dicot,Negreiros,perennial,shrub,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.00,100.00,0.00
Spiraea japonica L.,Rosaceae,Rosales,Rosanae,Dicot,Cerabolini/Pierce,perennial,tree,0,0,1,0,1,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3,30.18,35.64,34.19
Spiraea latifolia (Aiton) Borkh.,Rosaceae,Rosales,Rosanae,Dicot,Shipley,perennial,shrub,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,31.32,58.16,10.52
Spiraea salicifolia L.,Rosaceae,Rosales,Rosanae,Dicot,Kleyer,perennial,shrub,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,17.75,59.73,22.52
Spiraea tomentosa L.,Rosaceae,Rosales,Rosanae,Dicot,Shipley,perennial,shrub,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,4.96,84.96,10.08
Spirodela polyrrhiza (L.) Schleid.,Araceae,Alismatales,Lilianae,Monocot,Cerabolini/Pierce,perennial,aquatic,1,0,1,1,1,1,0,5,1,1,0,1,1,1,1,1,1,1,0,1,1,1,12,2.03,0.00,97.97
Spondias mombin L.,Anacardiaceae,Sapindales,Rosanae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,5,72.24,21.34,6.42
Spondias radlkoferi Donn. Sm.,Anacardiaceae,Sapindales,Rosanae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,66.52,21.91,11.56
Sporobolus clandenstinus (Biehler) Hitchc. ,Poaceae,Poales,Lilianae,Monocot,Weiher,perennial,graminoid,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,5,8.35,82.27,9.39
Sporobolus heterolepis (A. Gray) A. Gray,Poaceae,Poales,Lilianae,Monocot,Weiher,perennial,graminoid,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,14.34,66.26,19.40
Sporobolus interruptus Vasey,Poaceae,Poales,Lilianae,Monocot,Laughlin,perennial,graminoid,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8.40,87.06,4.53
Sporobolus vaginiflorus (Torr. ex A. Gray) Alph. Wood,Poaceae,Poales,Lilianae,Monocot,Weiher,annual,graminoid,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,1.78,53.01,45.21
Sporobolus virginicus (L.) Kunth,Poaceae,Poales,Lilianae,Monocot,Cerabolini,perennial,graminoid,1,1,0,1,1,1,1,6,1,0,0,1,0,0,1,1,1,0,0,1,1,1,8,12.37,67.45,20.18
Stachys alopecuros (L.) Benth. alopecuros,Lamiaceae,Lamiales,Asteranae,Dicot,Cerabolini/Pierce,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,55.96,2.81,41.22
Stachys officinalis (L.) Trevis.,Lamiaceae,Lamiales,Asteranae,Dicot,Cerabolini/Pierce,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,30.51,20.77,48.72
Stachys recta L.,Lamiaceae,Lamiales,Asteranae,Dicot,Cerabolini/Pierce,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,4,32.14,19.12,48.74
Stachys sylvatica L.,Lamiaceae,Lamiales,Asteranae,Dicot,Cerabolini/Pierce,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,6,44.19,0.00,55.81
Stachys tenuifolia Willd.,Lamiaceae,Lamiales,Asteranae,Dicot,Shipley,perennial,forb,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,24.39,53.56,22.05
Staphylea pinnata L.,Staphyleaceae,Crossosomatales,Rosanae,Dicot,Kleyer,perennial,tree,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,53.39,16.32,30.29
Stellaria graminea L.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,Shipley,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,6,14.46,12.46,73.08
Stellaria media (L.) Vill. media,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,Cerabolini/Pierce,perennial,forb,0,0,1,0,1,0,0,2,1,0,1,1,1,1,0,1,0,1,1,1,1,0,10,5.03,0.00,94.97
Stellaria neglecta Weihe,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,Cerabolini/Pierce,perennial,forb,0,0,1,0,1,0,0,2,1,0,0,1,1,0,0,0,0,0,0,1,0,0,4,18.82,0.00,81.18
Stellaria nemorum L.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,Cerabolini/Pierce,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,26.59,4.48,68.93
Stellaria pallida (Dumort.) Crép.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,Cerabolini/Pierce,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,5,3.78,0.00,96.22
Stellaria uliginosa Murray,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,Díaz,annual,forb,1,0,1,0,1,0,0,3,1,0,0,1,1,1,0,0,0,1,1,1,1,0,8,4.96,0.00,95.04
Stemmadenia grandiflora (Jacq.) Miers,Apocynaceae,Gentianales,Asteranae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,5,43.43,3.88,52.69
Sterculia apetala (Jacq.) H. Karst.,Malvaceae,Malvales,Rosanae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,5,78.79,18.34,2.87
Stigmaphyllon lindenianum A. Juss.,Malpighiaceae,Malpighiales,Rosanae,Dicot,Wright,perennial,liana,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,59.65,0.00,40.35
Stipa capillata L.,Poaceae,Poales,Lilianae,Monocot,Kleyer,perennial,graminoid,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,5,11.06,88.94,0.00
Stipa pulcherrima K. Koch,Poaceae,Poales,Lilianae,Monocot,Kleyer,perennial,graminoid,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,4,13.32,86.68,0.00
Stipa spartea Trin.,Poaceae,Poales,Lilianae,Monocot,Weiher,perennial,graminoid,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,4,26.50,73.50,0.00
Stizophyllum inaequilaterum Bureau & K. Schum.,Bignoniaceae,Lamiales,Asteranae,Dicot,Wright,perennial,liana,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,42.52,31.38,26.10
Stratiotes aloides L.,Hydrocharitaceae,Alismatales,Lilianae,Monocot,Kleyer,perennial,aquatic,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,3,57.84,0.00,42.16
Strychnos panamensis Seem.,Loganiaceae,Gentianales,Asteranae,Dicot,Wright,perennial,liana,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,32.47,56.59,10.94
Strychnos toxifera R.H. Schomb. ex Lindl.,Loganiaceae,Gentianales,Asteranae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45.02,41.18,13.80
Stryphnodendron pulcherrimum (Willd.) Hochr.,Fabaceae,Fabales,Rosanae,Dicot,Pinho,perennial,tree,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14.64,38.74,46.63
Stylogyne turbacensis (Kunth) Mez,Primulaceae,Ericales,Asteranae,Dicot,Wright,perennial,shrub,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,4,63.03,36.97,0.00
Succisa pratensis Moench,Caprifoliaceae,Dipsacales,Asteranae,Dicot,Cerabolini,annual,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,35.52,33.42,31.06
Swartzia simplex Spreng.,Fabaceae,Fabales,Rosanae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,47.77,47.10,5.12
Swertia iberica Fisch. & C.A. Mey.,Gentianaceae,Gentianales,Asteranae,Dicot,Soudzilovskaia,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3,62.92,0.00,37.08
Symphonia globulifera L. f.,Clusiaceae,Malpighiales,Rosanae,Dicot,Pinho,perennial,tree,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38.93,35.00,26.06
Symphoricarpos albus (L.) S.F. Blake,Caprifoliaceae,Dipsacales,Asteranae,Dicot,Kleyer,perennial,shrub,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,6,25.41,49.66,24.94
Symphyotrichum ascendens (Lindl.) G.L. Nesom,Asteraceae,Asterales,Asteranae,Dicot,Laughlin,perennial,forb,1,1,0,0,0,0,0,2,0,0,1,0,1,1,0,1,0,0,1,1,1,0,7,15.99,73.09,10.92
Symphyotrichum falcatum (Lindl.) G.L. Nesom,Asteraceae,Asterales,Asteranae,Dicot,Laughlin,perennial,forb,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,5,9.57,46.25,44.18
Symphyotrichum oolentangiense (Riddell) G.L. Nesom,Asteraceae,Asterales,Asteranae,Dicot,Weiher,perennial,forb,1,1,0,0,0,0,0,2,1,0,1,1,1,0,0,1,0,0,0,0,0,0,5,28.11,51.26,20.63
Symphytum officinale L.,Boraginaceae,Boraginales,Asteranae,Dicot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,4,69.72,0.00,30.28
Symphytum tuberosum L. angustifolium (A. Kern.) Nyman,Boraginaceae,Boraginales,Asteranae,Dicot,Cerabolini/Pierce,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,44.89,0.00,55.11
Syngonanthus cipoensis Ruhland,Eriocaulaceae,Poales,Lilianae,Monocot,Negreiros,perennial,forb,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,17.28,82.72,0.00
Syringa vulgaris L.,Oleaceae,Lamiales,Asteranae,Dicot,Kleyer,perennial,shrub,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,36.83,50.83,12.34
Syzygium scortechinii (King) Chantaran. & J. Parn.  ,Myrtaceae,Myrtales,Rosanae,Dicot,SJ Wright Pasoh,perennial,tree,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,44.29,55.71,0.00
Tabebuia guayacan (Seem.) Hemsl.,Bignoniaceae,Lamiales,Asteranae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58.02,31.14,10.84
Tabebuia rosea (Bertol.) DC.,Bignoniaceae,Lamiales,Asteranae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,81.72,9.62,8.66
Tabebuia roseoalba (Ridl.) Sandwith,Bignoniaceae,Lamiales,Asteranae,Dicot,Pinho,perennial,tree,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,5,45.03,34.17,20.80
Tabernaemontana arborea Rose,Apocynaceae,Gentianales,Asteranae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,50.09,22.41,27.50
Tabernaemontana flavicans Willd. ex Roem. & Schult.,Apocynaceae,Gentianales,Asteranae,Dicot,Pinho,perennial,tree,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,67.12,12.41,20.47
Tachigali densiflora (Benth.) L.F. Gomes da Silva & H.C. Lima,Fabaceae,Fabales,Rosanae,Dicot,Pinho,perennial,tree,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48.02,45.88,6.10
Tachigali versicolor Standl. & L.O. Williams,Fabaceae,Fabales,Rosanae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,68.95,24.97,6.08
Talisia nervosa Radlk.,Sapindaceae,Sapindales,Rosanae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,73.82,26.18,0.00
Talisia princeps Oliv.,Sapindaceae,Sapindales,Rosanae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,72.87,25.94,1.19
Tamus communis L.,Dioscoreaceae,Dioscoreales,Lilianae,Monocot,Cerabolini,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,4,48.55,0.00,51.45
Tanacetum corymbosum (L.) Sch. Bip.,Asteraceae,Asterales,Asteranae,Dicot,Cerabolini/Pierce,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,64.24,0.00,35.76
Tanacetum parthenium (L.) Sch. Bip,Asteraceae,Asterales,Asteranae,Dicot,Díaz,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,3,39.79,3.24,56.97
Tanacetum vulgare L.,Asteraceae,Asterales,Asteranae,Dicot,Shipley,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,6,57.95,21.56,20.49
Tapirira guianensis Aubl.,Anacardiaceae,Sapindales,Rosanae,Dicot,Pinho,perennial,tree,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,5,46.11,45.98,7.91
Taraxacum confusum Schischk.,Asteraceae,Asterales,Asteranae,Dicot,Soudzilovskaia,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,3,50.75,0.00,49.25
Taraxacum erythrospermum Andrz. ex Besser,Asteraceae,Asterales,Asteranae,Dicot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,6,28.07,0.86,71.07
Taraxacum fulvum Raunk.,Asteraceae,Asterales,Asteranae,Dicot,Cerabolini,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3,35.17,0.00,64.83
Taraxacum laevigatum (Willd.) DC.,Asteraceae,Asterales,Asteranae,Dicot,Shipley,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,11.37,63.34,25.28
Taraxacum officinale F.H. Wigg.,Asteraceae,Asterales,Asteranae,Dicot,Weiher,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,6,57.78,0.57,41.65
Taraxacum schroeteranum Hand.-Mazz.,Asteraceae,Asterales,Asteranae,Dicot,Cerabolini,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,19.75,0.00,80.25
Taraxacum stevenii DC.,Asteraceae,Asterales,Asteranae,Dicot,Soudzilovskaia,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,5,26.27,0.00,73.73
Tatianyx arnacites (Trin.) Zuloaga & Soderstr.,Poaceae,Poales,Lilianae,Monocot,Negreiros,perennial,graminoid,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,9.18,90.82,0.00
Taxus baccata L.,Taxaceae,Pinales,,Gymnosperm,Cornelissen,perennial,tree,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,6,1.70,98.30,0.00
Teesdalia nudicaulis (L.) R. Br.,Brassicaceae,Brassicales,Rosanae,Dicot,Cerabolini/Pierce,annual,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,10.62,0.00,89.38
Tephrosia virginiana (L.) Pers.,Fabaceae,Fabales,Rosanae,Dicot,Weiher,perennial,shrub,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,55.56,26.58,17.86
Terminalia amazonia (J.F. Gmel.) Exell,Combretaceae,Myrtales,Rosanae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,4,31.46,56.41,12.13
Terminalia oblonga (Ruiz & Pav.) Steud.,Combretaceae,Myrtales,Rosanae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,34.58,41.36,24.06
Tetracera breyniana Schltdl.,Dilleniaceae,Dilleniales,Dillenianae,Dicot,Pinho,perennial,tree,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38.96,61.04,0.00
Tetracera hydrophila Triana & Planch.,Dilleniaceae,Dilleniales,Dillenianae,Dicot,Wright,perennial,liana,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,52.60,40.50,6.90
Tetragastris panamensis (Engl.) Kuntze,Burseraceae,Sapindales,Rosanae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,4,58.17,41.83,0.00
Tetragonolobus maritimus Roth,Fabaceae,Fabales,Rosanae,Dicot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,4,23.83,30.76,45.41
Tetrapterys microphylla Nied.,Malpighiaceae,Malpighiales,Rosanae,Dicot,Negreiros,perennial,shrub,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,10.02,89.98,0.00
Tetrathylacium johansenii Standl.,Salicaceae,Malpighiales,Rosanae,Dicot,Wright,perennial,tree,1,1,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,45.02,40.79,14.19
Teucrium botrys L.,Lamiaceae,Lamiales,Asteranae,Dicot,Kleyer,annual,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,14.26,0.00,85.74
Teucrium canadense L.,Lamiaceae,Lamiales,Asteranae,Dicot,Weiher,perennial,forb,1,1,0,0,0,0,0,2,1,0,1,1,1,0,1,1,0,0,0,0,0,0,6,27.91,39.74,32.35
Teucrium capitatum L. capitatum,Lamiaceae,Lamiales,Asteranae,Dicot,Cerabolini,perennial,shrub,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6.65,79.96,13.38
Teucrium chamaedrys L. chamaedrys,Lamiaceae,Lamiales,Asteranae,Dicot,Cerabolini/Pierce,perennial,shrub,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,4,10.61,71.39,17.99
Teucrium montanum L.,Lamiaceae,Lamiales,Asteranae,Dicot,Cerabolini/Pierce,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,1.81,76.09,22.10
Teucrium polium L.,Lamiaceae,Lamiales,Asteranae,Dicot,Pausas,perennial,shrub,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,4,0.00,72.13,27.87
Teucrium scordium L.,Lamiaceae,Lamiales,Asteranae,Dicot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,5,13.53,4.45,82.02
Teucrium scorodonia L.,Lamiaceae,Lamiales,Asteranae,Dicot,Cerabolini/Pierce,annual,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,36.64,9.23,54.13
Thalictrum alpinum L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Kleyer,perennial,forb,1,0,1,0,1,0,0,3,0,0,0,1,1,1,0,0,0,1,1,1,1,0,7,5.25,75.52,19.23
Thalictrum aquilegiifolium L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,4,74.21,6.96,18.83
Thalictrum dasycarpum Fisch. & Avé-Lall.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Weiher,perennial,forb,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,5,21.30,38.01,40.68
Thalictrum dioicum L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Weiher,perennial,forb,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,16.18,20.57,63.25
Thalictrum exaltatum Gaudin exaltatum,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Cerabolini/Pierce,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,62.59,30.36,7.05
Thalictrum fendleri Engelm. ex A. Gray,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Laughlin,perennial,forb,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,5,53.78,33.01,13.21
Thalictrum minus L.,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,Kleyer,perennial,forb,0,0,1,0,1,0,0,2,1,0,0,1,1,1,0,1,0,1,0,1,0,0,7,55.26,28.47,16.28
Thelypteris palustris Schott,Thelypteridaceae,Polypodiales,,Fern,Cerabolini,perennial,forb,1,0,1,0,0,0,0,2,0,0,0,1,1,1,0,1,0,0,0,1,0,0,5,62.90,2.38,34.72
Themeda triandra Forssk.,Poaceae,Poales,Lilianae,Monocot,Buffa/Nyakunga,perennial,graminoid,0,0,1,1,1,1,0,4,1,1,0,1,1,0,1,1,0,1,0,1,1,0,9,19.48,67.53,12.99
Theobroma cacao L.,Malvaceae,Malvales,Rosanae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58.08,29.21,12.71
Thesium bavarum Schrank,Santalaceae,Santalales,Santalanae,Dicot,Cerabolini/Pierce,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,14.93,44.19,40.88
Thesium linophyllon L.,Santalaceae,Santalales,Santalanae,Dicot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,3.48,28.78,67.75
Thesium pyrenaicum Pourr.,Santalaceae,Santalales,Santalanae,Dicot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,5.53,17.07,77.40
Thevetia ahouai (L.) A. DC.,Apocynaceae,Gentianales,Asteranae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,73.36,4.45,22.20
Thinouia myriantha Triana & Planch.,Sapindaceae,Sapindales,Rosanae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,50.97,43.38,5.64
Thlaspi alliaceum L.,Brassicaceae,Brassicales,Rosanae,Dicot,Cerabolini/Pierce,annual,forb,0,0,1,1,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,1,0,0,4,13.02,0.00,86.98
Thlaspi arvense L.,Brassicaceae,Brassicales,Rosanae,Dicot,Díaz,annual,forb,0,0,1,0,1,0,0,2,1,0,0,1,1,1,0,1,0,1,1,1,1,0,9,18.72,0.00,81.28
Thlaspi montanum L.,Brassicaceae,Brassicales,Rosanae,Dicot,Kleyer,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,12.64,0.00,87.36
