id,latitude,longitude,FT,LA,LDMC,SLA,S,C,R,Strategy,color,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
6982,52.3,9.3,48,419.426754,95.25483158,57.54741644,0,16.68147107,83.31852893,R/CR,#1B0136,87,80,33,5982,218,-22,240,162,43,162,10,736,78,47,16,227,150,227,170
6983,37.45,-119.35,99.25,359.5934339,200.4109888,23.06509566,25.37419926,20.06136525,54.5644355,R/CSR,#231D0D,88,144,46,6027,269,-43,312,25,169,169,20,848,155,5,78,427,25,34,421
6984,49.3853,16.2544,50,483.8337178,86.63018093,53.0684667,0,18.70270945,81.29729055,R/CR,#200131,75,87,30,7035,225,-58,283,162,-5,162,-19,610,86,29,41,245,90,245,93
6985,49.3853,16.2544,49.25,490.8773202,75.50371139,62.15796197,0,17.55072358,82.44927642,R/CR,#1D0134,75,87,30,7035,225,-58,283,162,-5,162,-19,610,86,29,41,245,90,245,93
6988,40.31,-3.22,57.25,697.1087837,85.94120898,54.40862807,0,22.21184482,77.78815518,R/CR,#290128,128,111,36,6636,305,3,302,85,217,217,49,453,55,12,34,153,56,56,127
6992,50.3,5.3,51.5,802.387511,76.84582378,59.18516193,0,22.90019203,77.09980797,R/CR,#2A0127,90,78,34,5641,216,-13,229,162,51,162,18,915,86,64,9,247,200,247,227
6994,45.9,6.13028,61.25,512.2978223,166.1671955,29.72989752,0.335388063,26.37027558,73.29433636,R/CR,#33021D,100,97,33,6582,257,-29,286,107,13,183,13,934,96,66,10,252,221,234,221
7,45.2667,1.48333,27.75,154.7564012,83.58316379,85.92003947,0,7.324808861,92.67519114,R,#03014D,117,106,41,5492,259,3,256,55,81,187,45,917,93,57,12,255,212,212,246
7015,41.6833,2.8,58.5,699.3083249,100.3871486,44.49522156,0,24.41915574,75.58084426,R/CR,#2E0123,158,70,31,5308,276,54,222,169,227,228,93,686,108,27,33,239,122,153,150
7033,41.3599,-122.755,92.75,460.0596931,199.9857268,25.30579166,23.00220668,21.66155849,55.33623483,R/CSR,#271B0E,80,155,46,6170,277,-55,332,11,162,162,7,716,119,8,65,341,46,46,321
7034,48,19,30.5,186.6893536,78.10058018,85.5121081,0,8.441759508,91.55824049,R,#06014A,93,96,30,7640,255,-56,311,172,7,186,-10,627,77,36,23,203,114,198,127
7071,48.0717,1.33867,69.75,584.8976384,129.6639517,34.53225536,0,25.6933138,74.3066862,R/CR,#32011F,106,88,36,5528,241,1,240,44,69,177,35,640,62,47,8,176,145,152,165
