id,Name,Country,Latitude (º),Longitude (º),Altitude (meters),drought_index,PC1,PC2,PC3,Group,Survival_insitu_Madrid,Survival_insitu_Tübingen
9407,HolA-2,SWE,55.7491,13.399,16,NA,0.0138986,-0.00841344,-0.0211543,SWSweden,NA,NA
9408,Kal,SWE,56.047,13.9519,103,NA,0.0123229,-0.00586302,-0.00984134,SESweden,NA,NA
9409,Kia,SWE,56.0573,14.302,42,8.83E-05,0.012942,-0.0038281,-0.00127301,SESweden,0.285714286,1
9412,Kor,SWE,57.2746,16.1494,78,NA,0.0112172,0.0162684,-0.00683798,SESweden,NA,NA
9413,Kor,SWE,57.2746,16.1494,78,NA,0.0103966,0.0188011,-0.0116964,SESweden,NA,NA
9416,Kru-3,SWE,57.7215,18.3837,45,-0.000169535,0.0053413,-0.000339574,-0.0314063,SESweden,0.285714286,0.857142857
9421,Lan,SWE,55.9745,14.3997,4,NA,0.0131741,-0.00175315,-0.00801093,SESweden,NA,NA
9427,NÌ_s,SWE,62.8815,18.4055,56,0.000502472,0.00474813,0.0510473,-0.123839,NSweden,0.714285714,0.875
9436,Puk-1,SWE,56.1633,14.6806,6,NA,0.0125398,-0.00190634,-0.00301057,SESweden,NA,NA
9437,Puk-2,SWE,56.1633,14.6806,6,NA,0.012076,0.000260996,-0.0110795,SESweden,NA,NA
9450,Spro,SWE,57.2545,18.2109,18,NA,0.0110631,-0.00071031,-0.0103293,SESweden,NA,NA
9451,Spro,SWE,57.2545,18.2109,18,NA,0.00935699,-0.00154615,-0.0148766,SESweden,NA,NA
9452,Spro,SWE,57.2545,18.2109,18,NA,0.0106451,-0.0056126,-0.0114684,SESweden,NA,NA
9453,Ste,SWE,57.8009,18.5162,47,NA,0.00797388,0.000764567,-0.0168759,SESweden,NA,NA
9454,Ste,SWE,57.8009,18.5162,47,NA,0.00960732,8.14E-06,-0.0134018,SESweden,NA,NA
9455,Ste,SWE,57.8009,18.5162,47,NA,0.00997124,-0.000467453,-0.0157685,SESweden,NA,NA
9470,Tur-4,SWE,57.6511,14.8043,266,-0.000282004,0.00970467,-0.00451433,-0.0108472,SESweden,0.285714286,0.857142857
9471,Ull-A-1,SWE,56.0648,13.9707,33,NA,0.0139736,-0.0115057,-0.0265361,SWSweden,NA,NA
9481,Yst-1,SWE,55.4242,13.8484,9,0.000645812,0.0121085,-0.00610056,-0.00831384,SESweden,0,0.857142857
